"SUBJECT","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"BodyAccelerationFrequencyMeanX",0.330135937791188,0.370216499963782,0.34442449004808,0.315108859142875,0.27716058337638,0.331685619481619
"BodyAccelerationFrequencyMeanY",-0.35385676971718,-0.395030638234385,-0.36893598338222,-0.350111317661986,-0.322225691050619,-0.366782769870389
"BodyAccelerationFrequencyMeanZ",0.395077312483997,0.436349304357288,0.410661364690724,0.403083866603589,0.386386971573393,0.419361423153368
"BodyAccelerationFrequencyStdX",-0.670051857886538,-0.66359175159193,-0.65092171611671,-0.591761514260691,-0.591224749199751,-0.65828320102351
"BodyAccelerationFrequencyStdY",-0.653122345146672,-0.627334822545914,-0.628845353328853,-0.584073530089617,-0.532628119707674,-0.598333344827655
"BodyAccelerationFrequencyStdZ",-0.785520422962963,-0.765209076976522,-0.744617713890016,-0.766173278122532,-0.746325942671892,-0.765240544922927
"BodyAccelerationJerkFrequencyMeanX",-0.200591777271019,-0.22148392174314,-0.193285089543416,-0.196902454870425,-0.205870067598293,-0.212852701182966
"BodyAccelerationJerkFrequencyMeanY",0.145225054719904,0.157881748325194,0.157984082305623,0.1750425489053,0.209201176771465,0.186506947885816
"BodyAccelerationJerkFrequencyMeanZ",-0.0296651770176728,0.00421222385469893,-0.0447115047507345,-0.070570032753101,-0.0723803470051849,-0.0509176773187254
"BodyAccelerationJerkFrequencyStdX",-0.0554679507748189,-0.051693145844547,-0.0566430068636411,-0.0563345256338502,-0.0539566629461451,-0.054518564611237
"BodyAccelerationJerkFrequencyStdY",-0.749646066244239,-0.788054822563028,-0.727310015642392,-0.722545779906504,-0.652070117788905,-0.730042656624288
"BodyAccelerationJerkFrequencyStdZ",-0.828523571028807,-0.805795058195385,-0.771698697462277,-0.793953099884437,-0.74025513258101,-0.760534018606865
"BodyAccelerationMagnitudeFrequencyMean",0.775798469216872,0.816665634691615,0.761137078168573,0.746393640029036,0.676998686195064,0.768192190575194
"BodyAccelerationMagnitudeFrequencyStd",-0.965713188976337,-0.950551729566685,-0.910878063618258,-0.950102439163763,-0.924195487559033,-0.931521658497409
"BodyGyroscopeJerkMagnitudeFrequencyMean",0.0545642113107047,0.0189584495278334,0.113230120085325,0.0826433591079003,0.0391154995431458,-0.0294241255172927
"BodyGyroscopeJerkMagnitudeFrequencyStd",-0.575491447250466,-0.570414258847653,-0.578201922261448,-0.543959769551278,-0.494138248994061,-0.574783500474767
"BodyGyroscopeMagnitudeFrequencyMean",0.0621730342374604,0.0659773998983737,0.0635235772018573,0.0574463989390186,0.0412744205570263,0.0564803860963025
"BodyGyroscopeMagnitudeFrequencyStd",-0.575491447250466,-0.570414258847653,-0.578201922261448,-0.543959769551278,-0.494138248994061,-0.574783500474767
"BodyGyroscopeFrequencyMeanX",-0.58354968330446,-0.55825620835771,-0.568205435475735,-0.537595288947747,-0.505112567455313,-0.565373280814825
"BodyGyroscopeFrequencyMeanY",-0.832614261800926,-0.825937560781463,-0.817973546829486,-0.823561715004646,-0.796241172085562,-0.857012289002591
"BodyGyroscopeFrequencyMeanZ",-0.806805333451646,-0.739729161516376,-0.74731571525808,-0.774084989498606,-0.711556291383286,-0.718225280094819
"BodyGyroscopeFrequencyStdX",-0.226680343276286,-0.23828170239623,-0.230463894648942,-0.188722036044065,-0.224010093818563,-0.218663048257256
"BodyGyroscopeFrequencyStdY",0.0103059028403138,-0.0157132562955003,0.0179248489328127,0.0350435554802904,0.0382568011064651,0.0117873171927202
"BodyGyroscopeFrequencyStdZ",0.0567510386121651,0.0150182658139223,0.0615176771394318,0.0467188676805438,0.041003032274175,0.0614507940392772
"BodyAccelerationTimeMeanX",-0.90187523202356,-0.878549278592926,-0.86625244933595,-0.87052739865151,-0.876237625882646,-0.885128826314468
"BodyAccelerationTimeMeanY",-0.936347622917181,-0.922616407049522,-0.919167784886149,-0.922172436184582,-0.901781881140825,-0.911453429596826
"BodyAccelerationTimeMeanZ",-0.809191057509774,-0.741060982128869,-0.750895781092886,-0.779131046164855,-0.713232733535775,-0.718952963123251
"BodyAccelerationTimeStdX",-0.969691280833333,-0.965035118531232,-0.943640819617524,-0.964862630319396,-0.963087667461593,-0.966598209002591
"BodyAccelerationTimeStdY",-0.967944574254115,-0.962758776752392,-0.950822138898741,-0.966541769907085,-0.964356111835704,-0.972573654598446
"BodyAccelerationTimeStdZ",-0.947244121651235,-0.931866323426337,-0.918629194479119,-0.943578305656214,-0.937346263933073,-0.94953125130829
"BodyAccelerationJerkTimeMeanX",-0.293118889510802,-0.303298072792909,-0.341519041689402,-0.191465951580139,-0.176436232976529,-0.266622160726684
"BodyAccelerationJerkTimeMeanY",-0.306925467636368,-0.298643018519977,-0.326965427377292,-0.209285788438734,-0.16037543564936,-0.25811445690421
"BodyAccelerationJerkTimeMeanZ",-0.396192620063014,-0.387284218151587,-0.397831985589502,-0.335758034606045,-0.298686968995071,-0.355367413294942
"BodyAccelerationJerkTimeStdX",-0.203842206048396,-0.210599138717805,-0.190210246134245,-0.19514922976579,-0.255152738521031,-0.239570697301308
"BodyAccelerationJerkTimeStdY",-0.106061799656673,-0.139491985199595,-0.103115229409881,-0.118707965722294,-0.158542406998684,-0.12783676003932
"BodyAccelerationJerkTimeStdZ",-0.345132944633328,-0.303873438034699,-0.323120564575205,-0.303600518604518,-0.303476937495989,-0.306116320493413
"BodyAccelerationJerkMagnitudeTimeMean",-0.930120515997942,-0.929423727960833,-0.904744760661595,-0.904882442897793,-0.91876061559744,-0.945112617202073
"BodyAccelerationJerkMagnitudeTimeStd",-0.986219654110082,-0.987097114406303,-0.980067329851522,-0.983684105876887,-0.982758027389758,-0.987640466619171
"BodyAccelerationMagnitudeTimeMean",-0.922717763292181,-0.923796313487169,-0.891349698761333,-0.873857016910569,-0.911199872067568,-0.928091321334197
"BodyAccelerationMagnitudeTimeStd",-0.935338630010288,-0.923972025072031,-0.92271997783053,-0.921812146995935,-0.907962467204836,-0.923597954187176
"BodyGyroscopeTimeMeanX",-0.738302230896908,-0.746166400453461,-0.740731138329643,-0.720933207990378,-0.708124100529695,-0.754110275942357
"BodyGyroscopeTimeMeanY",-0.725861391895602,-0.690265978184016,-0.769547870779381,-0.747709136447503,-0.75243901479872,-0.716427788303303
"BodyGyroscopeTimeMeanZ",-0.758049679188169,-0.740696224304446,-0.771834833599528,-0.762154773296225,-0.792951952339972,-0.765696578949806
"BodyGyroscopeTimeStdX",-0.917561019722222,-0.92731500077659,-0.90404409806915,-0.916293529907085,-0.90281745484495,-0.923756345187824
"BodyGyroscopeTimeStdY",-0.8947408431893,-0.862247641240518,-0.880508427545383,-0.90697567456446,-0.898516787113087,-0.870545055982707
"BodyGyroscopeTimeStdZ",-0.882558446532922,-0.833848983064828,-0.873214872876495,-0.878341246918118,-0.883022872596017,-0.868216884305376
"BodyAngularVelocityMeanX",-0.918640127556584,-0.927873650714688,-0.906012568424502,-0.918052867595819,-0.905098231344239,-0.924851969437176
"BodyAngularVelocityMeanY",-0.963629407906379,-0.977961840973551,-0.940317033269675,-0.946616575924506,-0.931697304699146,-0.964356350207254
"BodyAngularVelocityMeanZ",-0.858021084032099,-0.832562661789533,-0.909100570745016,-0.899184959978513,-0.92001122448293,-0.858275044030829
"BodyAngularVelocityStdX",-0.970007420181584,-0.964298328655037,-0.943904247638982,-0.960522646533101,-0.951940644537696,-0.956283133879534
"BodyAngularVelocityStdY",-0.966945097572016,-0.958052638981711,-0.936209649671564,-0.956671193646922,-0.945327612496444,-0.949291128479275
"BodyAngularVelocityStdZ",-0.980499645457819,-0.973685540074395,-0.971311748536202,-0.980345844703833,-0.978694233083215,-0.972053404493523
"BodyGyroscopeJerkMagnitudeTimeMean",-0.977156930180041,-0.979583542279122,-0.962127912098636,-0.952392558031359,-0.944735278972262,-0.972724009203368
"BodyGyroscopeJerkMagnitudeTimeStd",-0.964481573323045,-0.952328707124536,-0.949472365688877,-0.948975749934959,-0.935762935246373,-0.952612064692357
"BodyGyroscopeMagnitudeTimeMean",-0.610835284290689,-0.592042748691756,-0.626614902481742,-0.585924174707607,-0.539997872198225,-0.607115759965933
"BodyGyroscopeMagnitudeTimeStd",-0.615710576120473,-0.592729475291418,-0.603568200770603,-0.561661346381765,-0.526387310507923,-0.600340533410829
"GravityAccelerationTimeMeanX",-0.0806242101647999,-0.0814727389589931,-0.0405268898150157,-0.0318192415228821,0.0132557175201005,-0.00851928901237047
"GravityAccelerationTimeMeanY",-0.244364788188987,-0.241663141849207,-0.24638601941277,-0.277819823258931,-0.305104907073378,-0.285190531978642
"GravityAccelerationTimeMeanZ",-0.560981193010962,-0.553417498105689,-0.563286483486474,-0.591183332631372,-0.605908464104654,-0.591533564025518
"GravityAccelerationTimeStdX",-0.895506259322325,-0.894597866015194,-0.859775163898793,-0.863468735454704,-0.84495057289744,-0.860305432947539
"GravityAccelerationTimeStdY",-0.820261932939815,-0.811905466210163,-0.769810864097796,-0.776452646625958,-0.72078478651591,-0.761494344388031
"GravityAccelerationTimeStdZ",-0.962595609459877,-0.956834308857625,-0.914778026621773,-0.944075531649245,-0.910184546514225,-0.931897995123057
"GravityAccelerationMagnitudeTimeMean",-0.0170129932946091,0.00875671241657287,0.00827357536368835,-0.014900577409338,-0.0291399344382475,-0.0172118659740933
"GravityAccelerationMagnitudeTimeStd",-0.0838160776030993,0.00323883468363534,-0.105119639823347,-0.0504999582085569,-0.0298379135168812,-0.0470334898300123
